Initializing Solar Radiometer........,
The sun was at a zenith of 84.7696 and an azimuth (servo angle) of 176.2983,
13:56:00 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.32
The sun was at a zenith of 84.5633 and an azimuth (servo angle) of 176.0865,
13:57:11 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.4
The sun was at a zenith of 84.3563 and an azimuth (servo angle) of 175.8728,
13:58:22 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.42
The sun was at a zenith of 84.1498 and an azimuth (servo angle) of 175.6598,
13:59:33 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.5
The sun was at a zenith of 83.9440 and an azimuth (servo angle) of 175.4474,
14:00:44 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.6
The sun was at a zenith of 83.7376 and an azimuth (servo angle) of 175.2342,
14:01:55 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.61
The sun was at a zenith of 83.5308 and an azimuth (servo angle) of 175.0198,
14:03:06 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.67
The sun was at a zenith of 83.3280 and an azimuth (servo angle) of 174.8098,
14:04:16 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.69
The sun was at a zenith of 83.1217 and an azimuth (servo angle) of 174.5961,
14:05:27 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.74
The sun was at a zenith of 82.9156 and an azimuth (servo angle) of 174.3822,
14:06:38 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.82
The sun was at a zenith of 82.7095 and an azimuth (servo angle) of 174.1682,
14:07:49 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.86
The sun was at a zenith of 82.5042 and an azimuth (servo angle) of 173.9547,
14:09:00 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.92
The sun was at a zenith of 82.2979 and an azimuth (servo angle) of 173.7394,
14:10:11 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,1.96
The sun was at a zenith of 82.0921 and an azimuth (servo angle) of 173.5248,
14:11:22 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.02
The sun was at a zenith of 81.8863 and an azimuth (servo angle) of 173.3100,
14:12:33 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.08
The sun was at a zenith of 81.6813 and an azimuth (servo angle) of 173.0957,
14:13:44 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.12
The sun was at a zenith of 81.4758 and an azimuth (servo angle) of 172.8806,
14:14:55 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.2
The sun was at a zenith of 81.2703 and an azimuth (servo angle) of 172.6652,
14:16:06 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.24
The sun was at a zenith of 81.0646 and an azimuth (servo angle) of 172.4486,
14:17:17 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.26
The sun was at a zenith of 80.8593 and an azimuth (servo angle) of 172.2328,
14:18:28 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.3
The sun was at a zenith of 80.6549 and an azimuth (servo angle) of 172.0175,
14:19:39 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.32
The sun was at a zenith of 80.4498 and an azimuth (servo angle) of 171.8012,
14:20:50 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.27
The sun was at a zenith of 80.2449 and an azimuth (servo angle) of 171.5847,
14:22:01 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.24
The sun was at a zenith of 80.0400 and an azimuth (servo angle) of 171.3679,
14:23:12 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.12
The sun was at a zenith of 79.8357 and an azimuth (servo angle) of 171.1507,
14:24:23 23 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,2.1
